id,title,description,issued,modified,publisher
https://sede.agenciatributaria.gob.es/Sede/datosabiertos/catalogo/hacienda/Estadistica_del_IRPF_por_codigo_postal.shtml,Estadística de los declarantes del Impuesto sobre la Renta de las Personas Físicas de los mayores municipios por código postal | Estadística dels declarants de l'Impost sobre la Renda de les Persones Físiques dels municipis més grans per codi postal | Estatística dos declarantes do Imposto sobre a Renda das Persoas Físicas dos maiores municipios por código postal | Statistics of payers of Personal Income Tax by main municipalities by postcode,"Publicación Estadística de los declarantes de IRPF de los mayores municipios por código postal,  específicamente diseñada para proporcionar un mayor detalle de la renta bruta media y las magnitudes declaradas a nivel de distrito postal en los mayores municipios del territorio de régimen fiscal común (TRFC).
La distribución territorial de la población en España se caracteriza por la coexistencia de una elevada concentración en unos pocos grandes núcleos urbanos y una diseminación en núcleos rurales muy numerosos de grupos reducidos de habitantes. Esta circunstancia hace que la renta media puede ser muy distinta entre los diferentes barrios de un gran municipio.　
La selección de los municipios se ha hecho según tres criterios de los que ha de cumplirse al menos uno de ellos: tamaño de la población (más de 200.000 habitantes según el Censo de Población), tamaño fiscal (más de 100.000 declaraciones de IRPF en el ejercicio fiscal) y renta bruta total (tener una renta bruta agregada superior a los 2.200 millones de euros). En la mayoría de los casos los tres criterios se cumplen simultáneamente, pero hay unos pocos casos en los que es válido solo alguno de ellos.　
Si bien no se han definido variables de explotación distintas de las incluidas en la Estadística de declarantes de IRPF por municipios, sí que cambia la forma de presentación de algunas tablas, en particular de las dos primeras tablas. La primera incorpora el porcentaje de participación (representatividad) de las variables de cada uno de los mayores municipios en relación al total en TRFC, y en la segunda la comparación de los mayores municipios se establece respecto a su propia Comunidad Autónoma para las variables de explotación más significativas (índice declarativo, población, renta bruta media y renta disponible media).
","lun, 14 oct 2019 22:00:00 GMT+0000","mié, 08 oct 2025 22:00:00 GMT+0000",http://datos.gob.es/recurso/sector-publico/org/Organismo/EA0028512
https://opendata.euskadi.eus/catalogo/-/estadistica/tablas-estadisticas-del-aurrera-begira-indicadores-de-expectativas-juveniles-2024/,Aurrera Begira - Gazteen aurreikuspenei buruzko adierazleak 2024. Taula estatistikoak | Tablas estadísticas del Aurrera Begira - Indicadores de Expectativas Juveniles 2024,"Estadistica del Observatorio Vasco de la Juventud. Indicadores de Expectativas Juveniles 2024. | Gazteen Euskal Behatokiaren estatistika. Gazteen Itxaropenen Adierazleak 2024.Helburua da jakitea euskal gazteek nola hautematen duten oraina eta zer itxaropen dituzten etorkizunerako epe laburrean. Euskadiko gazteen egoera ebaluatzeko eta jarraipena egiteko tresna erraza eta sintetikoa da, 2013tik urtero egiten diren 10 adierazleren bidez. Egungo egoerari eta etorkizun hurbilari buruz gazteek duten pertzepzioan jartzen du arreta, bereziki enpleguan eta emantzipazioan.","mié, 14 may 2025 22:00:00 GMT+0000","dom, 14 sep 2025 22:00:00 GMT+0000",http://datos.gob.es/recurso/sector-publico/org/Organismo/A16003011
urn:ine:es:ODS:5320:18:251856,2030 Agenda SDG - Annual growth of Consumer Price Index (Identificador API: 18:251856) | Agenda 2030 ODS - Variación anual del Índice de Precios de Consumo (Identificador API: 18:251856),"ODS / Goals and targets (from the 2030 Agenda for Sustainable Development) / Goal 17. Strengthen the means of implementation and revitalize the global partnership for sustainable development / Target 17.13. Enhance global macroeconomic stability, including through policy coordination and policy coherence / Indicator 17.13.1. Macroeconomic Dashboard | ODS / Indicadores de la Agenda 2030 para el Desarrollo Sostenible / Objetivo 17. Fortalecer los medios de implementación y revitalizar la Alianza Mundial para el Desarrollo Sostenible /  Meta 17.13. Aumentar la estabilidad macroeconómica mundial, incluso mediante la coordinación y coherencia de las políticas / Indicador 17.13.1. Tablero macroeconómico","lun, 14 feb 2022 14:00:00 GMT+0000","vie, 29 ago 2025 09:00:00 GMT+0000",http://datos.gob.es/recurso/sector-publico/org/Organismo/EA0010587
https://datos.madrid.es/egob/catalogo/200186-0-polideportivos,Deportes. Centros Deportivos Municipales (Polideportivos),"En la Ciudad de Madrid, existen diversas instalaciones para la práctica deportiva y que son de propiedad municipal. Principalmente están:  los Centros Deportivos Municipales (Polideportivos)   que existen del orden de 70 actualmente, distribuidos por los distintos barrios, y en los cuales se pueden practicar distintos deportes y las  Instalaciones Básicas,  que existen del orden de 475. Estas últimas suelen ser de uso libre, y suele ser para la práctica de un deporte (por ejemplo, una pista de futbol o baloncesto)   En este mismo portal, tiene el conjunto de datos:   Deportes: Instalaciones Deportivas Básicas Municipales     En los ficheros que hay más abajo, tiene datos de ubicación, transporte, contacto, horario, servicios, superficies disponibles de las instalaciones municipales deportivas básicas. Cada una de ellas se ubica y referencia espacialmente.     En  el apartado 'Documentación asociada', hay un documento con la estructura del fichero y  las recomendaciones y/o advertencias, que le permitirá usar y comprender mejor los datos.    También puede  consultar la relación existente  en la web municipal  www.madrid.es  para ver la ficha asociada a cada instalación.   A través del Portal de Visualizaciones ' Visualiza Madrid con Datos Abiertos' , el Ayuntamiento de Madrid pone a tu disposición una visualización en la que se muestran datos sobre Centros Deportivos Municipales (Polideportivos).           Acceder a la visualización de datos de los Centros Deportivos Municipales en el Portal de datos abiertos     Fuente:  www.madrid.es","mar, 11 mar 2014 23:00:00 GMT+0000","vie, 22 ago 2025 22:55:40 GMT+0000",http://datos.gob.es/recurso/sector-publico/org/Organismo/L01280796
https://datos.madrid.es/egob/catalogo/200149-0-oficinas-linea-madrid,Oficinas de Línea Madrid,"Línea Madrid es la marca que identifica la atención al ciudadano dentro de Ayuntamiento de Madrid, integrando los distintos medios y canales existentes para relacionarse con el Ayuntamiento. Estos canales son en la actualidad el telefónico (teléfono 010), el presencial (red de oficinas Línea Madrid) y los dos canales de Internet: la página web www.madrid.es y la cuenta de  Twitter  @Lineamadrid.  En este conjunto de datos se presenta la relación de oficinas presenciales, que complementan a la atención telefónica y la atención via  Twitter.  No hay que confundir las oficinas de Linea Madrid con las oficinas de atención al contribuyente. Estas últimas (son 5 y no están incluidas en este conjunto de datos) son las oficinas que presenta la Agencia Tributaria del Ayuntamiento de Madrid para la atención ciudadana con respecto a impuestos, tributos, tasas, ... etc.       Fuente:     www.madrid.es","mar, 11 mar 2014 23:00:00 GMT+0000","vie, 22 ago 2025 22:55:40 GMT+0000",http://datos.gob.es/recurso/sector-publico/org/Organismo/L01280796
https://datos.madrid.es/egob/catalogo/200304-0-centros-culturales,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),"Este conjunto de datos incluye los  Centros Culturales , los  Socioculturales  y los  Juveniles  del Ayuntamiento de Madrid (incluídos aquellos en los que el Ayuntamiento es miembro del consorcio titular). También están incluidas las Salas de Estudio y Lectura.   El fichero contiene los datos de localización (dirección, distrito y barrio), contacto, horario, servicios y actividades tipo que se pueden celebrar.   Existe en el portal otro conjunto de datos relacionado como es:  Actividades Culturales y de Ocio Municipal en los próximos 100 días , donde se incluyen la programación de actividades culturales que hay en la ciudad, y que incluye las celebradas en Centros Culturales, los Socioculturales, los Juveniles, las Bibliotecas, etc.    En  el apartado 'Documentación asociada', hay un documento con la estructura del fichero y  las recomendaciones sobre el uso de los datos.    A través del Portal de Visualizaciones ' Visualiza Madrid con Datos Abiertos' , el Ayuntamiento de Madrid pone a tu disposición una visualización acerca del Catálogo de Datos Abiertos del Ayuntamiento de Madrid, en la que se muestran datos sobre Centros Culturales Municipales.           Acceder a la visualización       Fuente:  www.madrid.es","mar, 11 mar 2014 23:00:00 GMT+0000","vie, 22 ago 2025 22:55:39 GMT+0000",http://datos.gob.es/recurso/sector-publico/org/Organismo/L01280796
https://datos.madrid.es/egob/catalogo/200342-0-centros-dia,Centros de Día,"Centros día municipales y concertados de la ciudad de Madrid.   Los  centros de día  son instalaciones especializadas en personas mayores, donde un grupo de profesionales se dedica a la prevención, tratamiento y cuidado de las personas mayores. Los mayores pueden continuar en sus casas, pasando las noches y fines de semana, de este modo no existe una desvinculación total con su ambiente de referencia, su entorno, ya que no se encuentran en situaciones de total dependencia.   A través del Portal de Visualizaciones ' Visualiza Madrid con Datos Abiertos' , el Ayuntamiento de Madrid pone a tu disposición una visualización acerca del Catálogo de Datos Abiertos del Ayuntamiento de Madrid, en la que se muestran datos sobre Centros de Día.            Acceder a la visualización de datos       Fuente:  www.madrid.es","mar, 11 mar 2014 23:00:00 GMT+0000","vie, 22 ago 2025 22:55:39 GMT+0000",http://datos.gob.es/recurso/sector-publico/org/Organismo/L01280796
https://datos.madrid.es/egob/catalogo/200337-0-centros-mayores,Centros Municipales de Mayores,"Relación de los Centros de Mayores de titularidad municipal de la ciudad de Madrid.   Los  Centros Municipales de Mayores  son espacios donde se realizan actividades de prevención de la dependencia y promoción del ocio y envejecimiento activo, con el fin de mejorar la calidad de vida de las personas mayores.   Se incluye una pormenorizada relación de los servicios e instalaciones que se proporcionan en cada centro.   A través del Portal de Visualizaciones ' Visualiza Madrid con Datos Abiertos' , el Ayuntamiento de Madrid pone a tu disposición una visualización acerca del Catálogo de Datos Abiertos del Ayuntamiento de Madrid, en la que se muestran datos sobre Centros de Municipales de Mayores.          Acceder a la visualización de Algunos ejemplos de datos disponibles en el Portal de datos abiertos        Fuente:  www.madrid.es","mar, 11 mar 2014 23:00:00 GMT+0000","vie, 22 ago 2025 22:55:39 GMT+0000",http://datos.gob.es/recurso/sector-publico/org/Organismo/L01280796
https://datos.madrid.es/egob/catalogo/200215-0-instalaciones-deportivas,Deportes. Instalaciones Deportivas Básicas Municipales,"En la Ciudad de Madrid existen diversas instalaciones para la práctica deportiva que son de propiedad municipal. Principalmente están:  los Centros Deportivos Municipales (Polideportivos)  que existen del orden de 70 actualmente, distribuidos por los distintos barrios, y en los cuales se pueden practicar distintos deportes y las  Instalaciones Básicas,  que existen del orden de 475. Estas últimas suelen ser de uso libre y para la práctica de un deporte (por ejemplo, una pista de futbol o baloncesto).   En este mismo portal tiene el conjunto de datos:  Deportes: Centros Deportivos Municipales (Polideportivos)    En los ficheros que hay más abajo, tiene datos de ubicación, transporte, contacto, horario, servicios, superficies disponibles de las instalaciones municipales deportivas básicas. Cada una de ellas se ubica y referencia espacialmente.    En  el apartado 'Documentación asociada', hay un documento con la estructura del fichero y  las recomendaciones y/o advertencias, que le permitirá usar y comprender mejor los datos.    También puede  consultar la relación existente  en la web municipal  www.madrid.es  para ver la ficha asociada a cada instalación.   A través del Portal de Visualizaciones ' Visualiza Madrid con Datos Abiertos' , el Ayuntamiento de Madrid pone a tu disposición una visualización, en la que se muestran datos sobre Instalaciones Deportivas Básicas Municipales.           Acceder a la visualización de los datos sobre instalaciones deportivas básicas municipales disponibles en el Portal de datos abiertos     Fuente:  www.madrid.es","mar, 11 mar 2014 23:00:00 GMT+0000","vie, 22 ago 2025 22:55:39 GMT+0000",http://datos.gob.es/recurso/sector-publico/org/Organismo/L01280796
https://datos.madrid.es/egob/catalogo/200967-0-mercados,Mercados municipales,"Los mercados municipales constituyen un servicio público profundamente arraigado en la cultura de los madrileños; mantienen una relevante función como referentes del comercio tradicional de alimentos frescos y de la vida social de los barrios.   Se relacionan los 46 mercados que conforman la red municipal, aportando datos de:     dirección   contacto   horarios   transportes   servicios   coordenadas para su localización sobre plano     Este conjunto de datos, complementa a otro publicado en este portal que es 'Mercados Municipales: locales comerciales, nombres comerciales y actividades', donde esta la información de locales comerciales, actividad, nombre comercial y planta o ubicación.   A través del Portal de Visualizaciones ' Visualiza Madrid con Datos Abiertos' , el Ayuntamiento de Madrid pone a tu disposición una visualización acerca del Catálogo de Datos Abiertos del Ayuntamiento de Madrid, en la que se muestran datos sobre Mercados Municipales.          Acceder a la visualización.      Fuente:     www.madrid.es","mar, 11 mar 2014 23:00:00 GMT+0000","vie, 22 ago 2025 22:55:39 GMT+0000",http://datos.gob.es/recurso/sector-publico/org/Organismo/L01280796
